GhoCode,YearCode,YearDisplay,RegionCode,RegionDisplay,CountryCode,country,SexCode,SexDisplay,DisplayValue,Numeric
WHOSIS_000001,2013,2013,EUR,Europe,GRC,Greece,BTSX,Both sexes,81,81.26017
WHOSIS_000001,2013,2013,AMR,Americas,GRD,Grenada,BTSX,Both sexes,73,73.27039
WHOSIS_000001,2013,2013,AMR,Americas,GTM,Guatemala,BTSX,Both sexes,72,71.96651
WHOSIS_000001,2013,2013,AFR,Africa,GIN,Guinea,BTSX,Both sexes,58,58.31797
WHOSIS_000001,2013,2013,AFR,Africa,GNB,Guinea-Bissau,BTSX,Both sexes,54,53.89736
WHOSIS_000001,2013,2013,AMR,Americas,GUY,Guyana,BTSX,Both sexes,64,63.53513
WHOSIS_000001,2013,2013,AMR,Americas,HTI,Haiti,BTSX,Both sexes,63,62.75648
WHOSIS_000001,2013,2013,AMR,Americas,HND,Honduras,BTSX,Both sexes,74,74.44133
WHOSIS_000001,2013,2013,EUR,Europe,HUN,Hungary,BTSX,Both sexes,75,75.21944
WHOSIS_000001,2013,2013,EUR,Europe,ISL,Iceland,BTSX,Both sexes,82,82.43079
WHOSIS_000001,2013,2013,SEAR,South_East Asia,IND,India,BTSX,Both sexes,66,66.39526
WHOSIS_000001,2013,2013,SEAR,South_East Asia,IDN,Indonesia,BTSX,Both sexes,71,70.76871
WHOSIS_000001,2013,2013,EMR,Eastern Mediterranean,IRQ,Iraq,BTSX,Both sexes,70,70.36568
WHOSIS_000001,2013,2013,EUR,Europe,IRL,Ireland,BTSX,Both sexes,81,81.31725
WHOSIS_000001,2013,2013,EUR,Europe,ISR,Israel,BTSX,Both sexes,82,82.4614
WHOSIS_000001,2013,2013,EUR,Europe,ITA,Italy,BTSX,Both sexes,83,82.86323
WHOSIS_000001,2013,2013,AMR,Americas,JAM,Jamaica,BTSX,Both sexes,74,74.43981
WHOSIS_000001,2013,2013,WPR,Western Pacific,JPN,Japan,BTSX,Both sexes,84,83.73987
WHOSIS_000001,2013,2013,EMR,Eastern Mediterranean,JOR,Jordan,BTSX,Both sexes,74,73.86859
WHOSIS_000001,2013,2013,EUR,Europe,KAZ,Kazakhstan,BTSX,Both sexes,68,67.95763
WHOSIS_000001,2013,2013,AFR,Africa,KEN,Kenya,BTSX,Both sexes,61,61.49628
WHOSIS_000001,2013,2013,WPR,Western Pacific,KIR,Kiribati,BTSX,Both sexes,67,66.80363
WHOSIS_000001,2013,2013,EUR,Europe,KGZ,Kyrgyzstan,BTSX,Both sexes,69,69.41342
WHOSIS_000001,2013,2013,WPR,Western Pacific,LAO,Laos,BTSX,Both sexes,66,66.36477
WHOSIS_000001,2013,2013,EUR,Europe,LVA,Latvia,BTSX,Both sexes,74,74.1265
WHOSIS_000001,2013,2013,EMR,Eastern Mediterranean,LBN,Lebanon,BTSX,Both sexes,80,79.87961
WHOSIS_000001,2013,2013,AFR,Africa,LSO,Lesotho,BTSX,Both sexes,50,50.36242
WHOSIS_000001,2013,2013,AFR,Africa,LBR,Liberia,BTSX,Both sexes,62,62.02602
